function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Freeze Frame Data,Fuel control,ASIC Monitor Failure Detection,750,90,127,0,1,0x393871,0x2,0x4E,,1,2,1,2,0,4,-1,1,0,0,8001536,Not monitored,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8001536, 'range_label': 'Not monitored'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8001539, 'range_label': 'Monitor condition fail'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8001522, 'range_label': 'Config monitor failure'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8001533, 'range_label': 'Lost monitor failure'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 8001524, 'range_label': 'Pattern monitor failure'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 8001516, 'range_label': 'ID monitor failure'}, {'no': 7, 'up_bound': 6, 'low_bound': 6, 'range_id': 8001521, 'range_label': 'Counter monitor failure'}, {'no': 8, 'up_bound': 7, 'low_bound': 7, 'range_id': 8001514, 'range_label': 'Disable monitor failure'}, {'no': 9, 'up_bound': 8, 'low_bound': 8, 'range_id': 8001525, 'range_label': 'Relay cut monitor failure'}, {'no': 10, 'up_bound': 9, 'low_bound': 9, 'range_id': 8001528, 'range_label': 'Monitor performed'}, {'no': 11, 'up_bound': 10, 'low_bound': 10, 'range_id': 8001527, 'range_label': 'Monitor skip'}]"
Freeze Frame Data,Fuel control,ASIC Monitor Complete Flag,760,80,128,0,1,0x393871,0x2,0x4F,,1,2,1,2,0,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Freeze Frame Data,Fuel control,CAN CRC Error (PHEV_OUT_1),770,130,129,0,1,0x393871,0x2,0x50,,1,2,1,2,0,1,-1,1,0,0,9100094,Normal,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 9100094, 'range_label': 'Normal'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 85000004, 'range_label': 'Failure'}]"
Freeze Frame Data,Fuel control,CAN Counter Error (PHEV_OUT_1),780,120,130,0,1,0x393871,0x2,0x51,,1,2,1,2,0,1,-1,1,0,0,9100094,Normal,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 9100094, 'range_label': 'Normal'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 85000004, 'range_label': 'Failure'}]"
Freeze Frame Data,Fuel control,KEY for CAN Sending,790,420,131,0,1,0x393871,0x2,0x52,,0,2,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Freeze Frame Data,Fuel control,CPU Failure Detection Status,800,310,132,0,1,0x393871,0x2,0x53,,1,2,1,2,0,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Freeze Frame Data,Fuel control,Response Error Flag (LIN),810,720,133,0,1,0x393871,0x2,0x54,,1,2,1,2,0,1,-1,1,0,0,9100094,Normal,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 9100094, 'range_label': 'Normal'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 85000004, 'range_label': 'Failure'}]"
Freeze Frame Data,Fuel control,LIN TimeOut Timer (EV_OUT_1),820,450,134,0,1,0x393871,0x2,0x55,ms,0,2,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Freeze Frame Data,Fuel control,LIN TimeOut Timer (EV_OUT_DIAG),830,460,135,0,1,0x393871,0x2,0x56,ms,0,2,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Freeze Frame Data,Fuel control,LIN TimeOut Timer (E_PARK_OUT),840,440,136,0,1,0x393871,0x2,0x57,ms,0,2,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
ECU Information,Fuel control,ECU PART NUMBER,1,1,2,0,1,0x393871,0x22,0xF012,,0,3,10,2,-1,-1,-1,,,,,,,,,[]
ECU Information,ECU information (items to be sent to the server),Software part number,1,1,117081,0,1,0x393871,0x22,0xF012,,0,3,10,2,-1,-1,-1,,,,,,,,,[]
ECU Information,ECU information (items to be sent to the server),Hardware part number,2,2,117082,0,1,0x393871,0x22,0xF1A1,,0,3,10,2,-1,-1,-1,,,,,,,,,[]
ECU Information,ECU information (items to be sent to the server),ECU serial number,3,3,117083,0,1,0x393871,0x22,0xF18C,,0,3,-1,2,-1,-1,-1,,,,,,,,,[]
Learned value clear,1,Stored Range Value clear,1,1,143,0,1,0x393871,0x31,0x1,,,,,,,,,,,,,,,,,[]
Learned value clear,1,,,,,,,0x393871,,,,,,,,,,,,,,,,,,,[]
